1, 34kg, 106cm, 高度な肥満
2, 55kg, 162cm, 標準
3, 48kg, 135cm, 肥満
4, 33kg, 122cm, 標準
5, 95kg, 208cm, 標準
6, 24kg, 107cm, 標準
7, 31kg, 155cm, やせ型
8, 49kg, 229cm, やせ型
9, 97kg, 106cm, 高度な肥満
10, 91kg, 150cm, 高度な肥満
11, 89kg, 207cm, 標準
12, 48kg, 214cm, やせ型
13, 95kg, 171cm, 高度な肥満
14, 20kg, 140cm, やせ型
15, 74kg, 187cm, 標準
16, 55kg, 139cm, 肥満
17, 47kg, 186cm, やせ型
18, 33kg, 123cm, 標準
19, 68kg, 124cm, 高度な肥満
20, 65kg, 188cm, やせ型
21, 97kg, 167cm, 高度な肥満
22, 25kg, 217cm, やせ型
23, 88kg, 131cm, 高度な肥満
24, 68kg, 120cm, 高度な肥満
25, 90kg, 175cm, 肥満
26, 100kg, 192cm, 肥満
27, 93kg, 149cm, 高度な肥満
28, 28kg, 111cm, 標準
29, 49kg, 174cm, やせ型
30, 30kg, 159cm, やせ型
31, 32kg, 197cm, やせ型
32, 55kg, 216cm, やせ型
33, 66kg, 141cm, 高度な肥満
34, 67kg, 190cm, 標準
35, 46kg, 168cm, やせ型
36, 29kg, 143cm, やせ型
37, 88kg, 162cm, 高度な肥満
38, 40kg, 218cm, やせ型
39, 68kg, 169cm, 標準
40, 91kg, 156cm, 高度な肥満
41, 61kg, 114cm, 高度な肥満
42, 49kg, 108cm, 高度な肥満
43, 60kg, 202cm, やせ型
44, 54kg, 116cm, 高度な肥満
45, 47kg, 180cm, やせ型
46, 47kg, 227cm, やせ型
47, 70kg, 217cm, やせ型
48, 38kg, 167cm, やせ型
49, 37kg, 163cm, やせ型
50, 91kg, 167cm, 高度な肥満
51, 94kg, 209cm, 標準
52, 94kg, 202cm, 標準
53, 66kg, 156cm, 肥満
54, 37kg, 226cm, やせ型
55, 31kg, 112cm, 標準
56, 34kg, 139cm, やせ型
57, 100kg, 140cm, 高度な肥満
58, 74kg, 116cm, 高度な肥満
59, 69kg, 197cm, やせ型
60, 96kg, 219cm, 標準
61, 87kg, 164cm, 高度な肥満
62, 90kg, 102cm, 高度な肥満
63, 34kg, 168cm, やせ型
64, 63kg, 128cm, 高度な肥満
65, 57kg, 211cm, やせ型
66, 40kg, 216cm, やせ型
67, 20kg, 167cm, やせ型
68, 84kg, 145cm, 高度な肥満
69, 84kg, 127cm, 高度な肥満
70, 100kg, 176cm, 高度な肥満
71, 84kg, 150cm, 高度な肥満
72, 39kg, 195cm, やせ型
73, 40kg, 100cm, 高度な肥満
74, 96kg, 182cm, 肥満
75, 82kg, 104cm, 高度な肥満
76, 34kg, 192cm, やせ型
77, 59kg, 161cm, 標準
78, 27kg, 161cm, やせ型
79, 92kg, 120cm, 高度な肥満
80, 30kg, 224cm, やせ型
81, 28kg, 132cm, やせ型
82, 36kg, 221cm, やせ型
83, 90kg, 142cm, 高度な肥満
84, 53kg, 208cm, やせ型
85, 47kg, 151cm, 標準
86, 59kg, 202cm, やせ型
87, 67kg, 212cm, やせ型
88, 86kg, 215cm, 標準
89, 35kg, 163cm, やせ型
90, 48kg, 116cm, 高度な肥満
91, 63kg, 105cm, 高度な肥満
92, 95kg, 158cm, 高度な肥満
93, 95kg, 156cm, 高度な肥満
94, 20kg, 118cm, やせ型
95, 100kg, 115cm, 高度な肥満
96, 49kg, 117cm, 高度な肥満
97, 24kg, 184cm, やせ型
98, 29kg, 160cm, やせ型
99, 55kg, 224cm, やせ型
100, 47kg, 133cm, 肥満
101, 93kg, 221cm, 標準
102, 51kg, 221cm, やせ型
103, 72kg, 148cm, 高度な肥満
104, 32kg, 124cm, 標準
105, 75kg, 190cm, 標準
106, 74kg, 205cm, やせ型
107, 79kg, 113cm, 高度な肥満
108, 32kg, 115cm, 標準
109, 71kg, 186cm, 標準
110, 33kg, 163cm, やせ型
111, 44kg, 148cm, 標準
112, 88kg, 214cm, 標準
113, 37kg, 208cm, やせ型
114, 43kg, 171cm, やせ型
115, 79kg, 163cm, 肥満
116, 29kg, 213cm, やせ型
117, 90kg, 125cm, 高度な肥満
118, 26kg, 103cm, 標準
119, 31kg, 160cm, やせ型
120, 41kg, 204cm, やせ型
121, 82kg, 223cm, やせ型
122, 47kg, 202cm, やせ型
123, 27kg, 142cm, やせ型
124, 68kg, 100cm, 高度な肥満
125, 69kg, 167cm, 標準
126, 78kg, 173cm, 肥満
127, 74kg, 224cm, やせ型
128, 39kg, 148cm, やせ型
129, 57kg, 155cm, 標準
130, 27kg, 115cm, 標準
131, 60kg, 114cm, 高度な肥満
132, 26kg, 222cm, やせ型
133, 84kg, 140cm, 高度な肥満
134, 27kg, 120cm, 標準
135, 43kg, 117cm, 高度な肥満
136, 96kg, 117cm, 高度な肥満
137, 50kg, 203cm, やせ型
